Date,Stock,Tail,Fallback,Reason
2015-05-22,INFY.NS,upper,False,
2015-05-22,INFY.NS,lower,False,
2015-05-22,SBIN.NS,upper,True,invalid
2015-05-22,SBIN.NS,lower,False,
2015-06-05,INFY.NS,upper,False,
2015-06-05,INFY.NS,lower,False,
2015-06-05,SBIN.NS,upper,False,
2015-06-05,SBIN.NS,lower,False,
2015-06-19,INFY.NS,upper,False,
2015-06-19,INFY.NS,lower,False,
2015-06-19,SBIN.NS,upper,False,
2015-06-19,SBIN.NS,lower,False,
2015-07-03,INFY.NS,upper,False,
2015-07-03,INFY.NS,lower,False,
2015-07-03,SBIN.NS,upper,False,
2015-07-03,SBIN.NS,lower,False,
2015-07-17,INFY.NS,upper,False,
2015-07-17,INFY.NS,lower,False,
2015-07-17,SBIN.NS,upper,False,
2015-07-17,SBIN.NS,lower,False,
2015-07-31,INFY.NS,upper,False,
2015-07-31,INFY.NS,lower,False,
2015-07-31,SBIN.NS,upper,False,
2015-07-31,SBIN.NS,lower,False,
2015-08-14,INFY.NS,upper,False,
2015-08-14,INFY.NS,lower,False,
2015-08-14,SBIN.NS,upper,False,
2015-08-14,SBIN.NS,lower,False,
2015-08-28,INFY.NS,upper,False,
2015-08-28,INFY.NS,lower,False,
2015-08-28,SBIN.NS,upper,True,invalid
2015-08-28,SBIN.NS,lower,False,
2015-09-11,INFY.NS,upper,False,
2015-09-11,INFY.NS,lower,False,
2015-09-11,SBIN.NS,upper,True,sparse
2015-09-11,SBIN.NS,lower,False,
2015-09-29,INFY.NS,upper,False,
2015-09-29,INFY.NS,lower,False,
2015-09-29,SBIN.NS,upper,False,
2015-09-29,SBIN.NS,lower,False,
2015-10-14,INFY.NS,upper,False,
2015-10-14,INFY.NS,lower,False,
2015-10-14,SBIN.NS,upper,False,
2015-10-14,SBIN.NS,lower,False,
2015-10-29,INFY.NS,upper,False,
2015-10-29,INFY.NS,lower,False,
2015-10-29,SBIN.NS,upper,False,
2015-10-29,SBIN.NS,lower,False,
2015-11-16,INFY.NS,upper,False,
2015-11-16,INFY.NS,lower,False,
2015-11-16,SBIN.NS,upper,False,
2015-11-16,SBIN.NS,lower,False,
2015-12-01,INFY.NS,upper,False,
2015-12-01,INFY.NS,lower,False,
2015-12-01,SBIN.NS,upper,False,
2015-12-01,SBIN.NS,lower,False,
2015-12-15,INFY.NS,upper,False,
2015-12-15,INFY.NS,lower,False,
2015-12-15,SBIN.NS,upper,False,
2015-12-15,SBIN.NS,lower,False,
2015-12-30,INFY.NS,upper,False,
2015-12-30,INFY.NS,lower,False,
2015-12-30,SBIN.NS,upper,False,
2015-12-30,SBIN.NS,lower,False,
2016-01-13,INFY.NS,upper,False,
2016-01-13,INFY.NS,lower,False,
2016-01-13,SBIN.NS,upper,False,
2016-01-13,SBIN.NS,lower,False,
2016-01-28,INFY.NS,upper,False,
2016-01-28,INFY.NS,lower,False,
2016-01-28,SBIN.NS,upper,False,
2016-01-28,SBIN.NS,lower,False,
2016-02-11,INFY.NS,upper,False,
2016-02-11,INFY.NS,lower,False,
2016-02-11,SBIN.NS,upper,False,
2016-02-11,SBIN.NS,lower,False,
2016-02-25,INFY.NS,upper,False,
2016-02-25,INFY.NS,lower,False,
2016-02-25,SBIN.NS,upper,False,
2016-02-25,SBIN.NS,lower,False,
2016-03-11,INFY.NS,upper,False,
2016-03-11,INFY.NS,lower,False,
2016-03-11,SBIN.NS,upper,False,
2016-03-11,SBIN.NS,lower,False,
2016-03-29,INFY.NS,upper,False,
2016-03-29,INFY.NS,lower,False,
